US decision on Syria action 'soon' - Trump, http://www.bbc.co.uk/news/world-middle-east-43745596, BBC News, 2018-04-12T20:45:20Z, BBC News, Donald Trump says he is looking "seriously" at the situation, as Russia warns about the risk of war., https://ichef.bbci.co.uk/images/ic/1024x576/p0643nyw.jpg
Trump to look at rejoining TPP 'disaster', http://www.bbc.co.uk/news/business-43747211, BBC News, 2018-04-12T19:50:14Z, BBC News, The president agreed to reconsider the Asia Pacific trade pact as his trade strategy comes under fire., https://ichef.bbci.co.uk/news/1024/branded_news/10218/production/_100327066_gettyimages-460575498.jpg
Trump's allies trash 'lyin' FBI memoir, http://www.bbc.co.uk/news/world-us-canada-43733760, BBC News, 2018-04-12T18:58:22Z, BBC News, In an interview to promote the memoir, James Comey likens the president to a "mob boss"., https://ichef-1.bbci.co.uk/news/1024/branded_news/7083/production/_100830882_gettyimages-693769912.jpg
Trump Proposes Rejoining Trans-Pacific Partnership to Shield Farmers From Trade War, https://www.nytimes.com/2018/04/12/us/politics/trump-trans-pacific-partnership.html, Ana Swanson, 2018-04-12T17:59:47Z, The New York Times, The president said his advisers would look into rejoining a trade deal he withdrew from last year, as the White House tries to help farmers who will be hurt by its trade measures., https://static01.nyt.com/images/2018/04/13/business/13dc-trade-1/13dc-trade-1-facebookJumbo.jpg
I Downloaded the Information That Facebook Has on Me. Yikes., https://www.nytimes.com/2018/04/11/technology/personaltech/i-downloaded-the-information-that-facebook-has-on-me-yikes.html, Brian X. Chen, 2018-04-12T17:58:16Z, The New York Times, Using a tool that Facebook offers its users, our columnist found out more than he wanted to know about the social network, the ad industry and himself., https://static01.nyt.com/images/2018/04/11/autossell/user/user-facebookJumbo.jpg
Trump Asks Advisers to Study Rejoining Pacific Trade Pact Talks, https://www.wsj.com/articles/trump-asks-advisers-to-study-rejoining-pacific-trade-pact-talks-1523553620, Michael C. Bender, 2018-04-12T17:20:00Z, The Wall Street Journal, One year after withdrawing the U.S. from the Trans-Pacific Partnership, President Donald Trump has asked his top economic advisers to study the possibility of re-entering the trade pact negotiations., https://images.wsj.net/im-6833/social
Russia concern over potential US strikes, http://www.bbc.co.uk/news/world-europe-43746745, BBC News, 2018-04-12T17:18:53Z, BBC News, The BBC's Moscow correspondent looks at the mood in the Russian capital., https://ichef-1.bbci.co.uk/news/1024/branded_news/106E7/production/_100830376_p0643p3p.jpg
State dept pick denies being a war hawk, http://www.bbc.co.uk/news/43746029, BBC News, 2018-04-12T16:51:14Z, BBC News, One senator asks if Mike Pompeo will be a "yes man", catering to the president's "worst instincts"., https://ichef.bbci.co.uk/images/ic/1024x576/p0643n60.jpg
U.S. Seeks Quick Nafta Deal, but Allies Balk as It Gives Little Ground, https://www.nytimes.com/2018/04/11/us/politics/nafta-negotiations-trump.html, Ana Swanson, 2018-04-12T16:18:15Z, The New York Times, The Trump administration confronts conflicting desires: to secure a deal in time for approval by the current Congress and to keep contentious proposals on manufacturing., https://static01.nyt.com/images/2018/04/12/business/12dc-nafta-1/12dc-nafta-1-facebookJumbo.jpg
Tesla, Safety Agency Duel Over Fatal-Crash Probe, https://www.wsj.com/articles/tesla-withdraws-from-ntsb-agreement-in-fatal-crash-probe-1523547055, Mike Spector, 2018-04-12T15:30:00Z, The Wall Street Journal, Federal safety investigators and Tesla broke into a feud over the probe of a fatal crash involving the auto maker’s semiautonomous driving system, with dueling explanations emerging for the company’s departure from a formal agreement in the inquiry., https://images.wsj.net/im-6734/social
